sku_code,sku_type,Product_focus
SKU-10,Primers,NYX Professional
SKU-11,Concealer,Garnier
SKU-12,Foundation,Garnier
SKU-13,Blusher,Maybelline
SKU-14,Bronzer,NYX Professional
SKU-15,Highlighter,Maybelline
SKU-16,Eyebrow pencils,NYX Professional
SKU-17,Eyeliner,Maybelline
SKU-18,Mascara,Garnier
SKU-19,Lip products,Garnier
SKU-20,Nail polish ,NYX Professional
SKU-21,Moisturizer,Garnier
SKU-22,Serum,Maybelline
SKU-23,Sheet Mask,NYX Professional
SKU-24,Face Mask,Maybelline
SKU-25,Face Wash,Garnier
SKU-26,Shampoo,Garnier
SKU-27,Conditioner,Garnier
SKU-28,Hair Mask,Maybelline
SKU-29,Contour,Maybelline
SKU-30,Sunscreen,Garnier
